"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","26","6","22.143429","0","28"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","33","16","2","347.844604","0","93"
"/OpenXR/Devices/M_XRController.M_XRController","24","45","45","3","57.689804","0","52"
"Globals","24","761","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","2","2","1","2.044296","0","2"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","2","2","1","1.619574","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","30","5","1","28.585808","0","213"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","2.102789","0","2"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","1.234151","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","1.332986","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","24","15","15","1","15.175482","0","24"
"/OculusVR/Materials/touchController_mat.touchController_mat","24","30","9","1","29.025068","0","99"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","24","2","2","1","1.273842","0","3"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","24","2","2","1","1.596458","0","2"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","4","4","1","2.787478","0","6"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","44","6","1","47.397774","0","166"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","104","10","1","122.921242","0","748"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","24","195","10","1","135.611343","0","2293"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","24","75","10","1","72.978752","0","420"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","240","10","1","289.516968","0","3249"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","24","2","2","1","1.739346","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","24","2","2","1","159.143845","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","169.800674","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","30","8","1","747.023865","0","98"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","2","2","1","1.308665","0","2"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","1.268452","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","15","15","1","14.321168","0","20"
"/Engine/VREditor/TransformGizmo/Main.Main","24","2","2","1","1.307436","0","2"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","51","14","1","48.576298","0","254"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","10","10","1","15.789939","0","10"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","10","10","1","7.142619","0","10"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","4","4","1","1.951795","0","4"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","77","77","1","68.065010","0","77"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","635","635","1","621.461670","0","635"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","22","7","1","19.387266","0","56"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","4","4","1","2.403830","0","5"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","4","4","1","2.342201","0","4"
"/Game/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","24","88","12","2","82.927933","0","370"
"/Game/TheRoadMaterials/Modular_Concrete_Median_vcrnfetdw_High_4K_BaseColor_Mat.Modular_Concrete_Median_vcrnfetdw_High_4K_BaseColor_Mat","24","15","4","1","15.266602","0","35"
"/Game/SpawnObjects/Barrier_BP/ForPepper_Materials/Red_Bell_Pepper_uhriag3va_High_4K_BaseColor_Mat.Red_Bell_Pepper_uhriag3va_High_4K_BaseColor_Mat","24","15","15","1","15.890901","0","24"
"/Game/SpawnObjects/Barrier_BP/ForBarrierCar_Materials/Mine_Cart_ujzhahdfa_High_4K_BaseColor_Mat.Mine_Cart_ujzhahdfa_High_4K_BaseColor_Mat","24","15","15","1","15.296153","0","23"
"/Game/TheBarrierMaterials/Old_Concrete_Barrier_vksrdes_Mid_2K_Bump_Mat.Old_Concrete_Barrier_vksrdes_Mid_2K_Bump_Mat","24","15","3","1","15.648972","0","43"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","2","2","1","1.667233","0","2"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","1.323296","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","2","2","1","1.451725","0","2"
"/Game/ThirdPerson/Meshes/RampMaterial.RampMaterial","24","45","10","1","49.448875","0","197"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","24","45","9","1","46.805283","0","177"
"/Game/MobileStarterContent/Materials/M_Basic_Wall.M_Basic_Wall","24","45","10","1","44.110401","0","206"
"/Game/MobileStarterContent/Props/Materials/M_Frame.M_Frame","24","45","9","1","49.558098","0","177"
"/Game/MobileStarterContent/Materials/M_Glass.M_Glass","24","30","9","1","29.439121","0","136"
"/Game/MobileStarterContent/Particles/Materials/M_Dust_Particle.M_Dust_Particle","24","40","9","1","40.417995","0","167"
"/Game/MobileStarterContent/Props/Materials/M_Chair.M_Chair","24","45","4","1","48.686157","0","219"
"/Game/MobileStarterContent/Materials/M_Wood_Walnut.M_Wood_Walnut","24","45","9","1","47.163322","0","177"
"/Game/MobileStarterContent/Materials/M_Wood_Pine.M_Wood_Pine","24","45","4","1","50.755623","0","206"
"/Game/MobileStarterContent/Materials/M_Wood_Oak.M_Wood_Oak","24","45","9","1","48.759426","0","177"
"/Game/MobileStarterContent/Materials/M_Wood_Floor_Walnut_Worn.M_Wood_Floor_Walnut_Worn","24","45","10","1","49.983383","0","219"
"/Game/MobileStarterContent/Materials/M_Wood_Floor_Walnut_Polished.M_Wood_Floor_Walnut_Polished","24","45","9","1","48.968792","0","195"
"/Game/MobileStarterContent/Materials/M_Water_Ocean.M_Water_Ocean","24","45","3","1","50.901295","0","243"
"/Game/MobileStarterContent/Materials/M_Water_Lake.M_Water_Lake","24","45","9","1","51.061172","0","204"
"/Game/MobileStarterContent/Materials/M_Tech_Panel.M_Tech_Panel","24","45","4","1","49.742886","0","206"
"/Game/MobileStarterContent/Materials/M_Tech_Hex_Tile_Pulse.M_Tech_Hex_Tile_Pulse","24","45","9","1","48.018219","0","177"
"/Game/MobileStarterContent/Materials/M_Tech_Hex_Tile.M_Tech_Hex_Tile","24","45","3","1","47.923203","0","210"
"/Game/MobileStarterContent/Materials/M_Tech_Checker_Dot.M_Tech_Checker_Dot","24","45","8","1","49.964451","0","186"
"/Game/MobileStarterContent/Materials/M_Rock_Slate.M_Rock_Slate","24","45","4","1","49.199509","0","206"
"/Game/MobileStarterContent/Materials/M_Rock_Sandstone.M_Rock_Sandstone","24","45","9","1","48.845154","0","177"
"/Game/MobileStarterContent/Materials/M_Rock_Marble_Polished.M_Rock_Marble_Polished","24","45","4","1","48.659019","0","206"
"/Game/MobileStarterContent/Materials/M_Rock_Basalt.M_Rock_Basalt","24","45","9","1","47.149940","0","177"
"/Game/MobileStarterContent/Materials/M_Metal_Steel.M_Metal_Steel","24","45","4","1","51.986977","0","206"
"/Game/MobileStarterContent/Materials/M_Metal_Rust.M_Metal_Rust","24","45","9","1","47.306343","0","177"
"/Game/MobileStarterContent/Materials/M_Metal_Gold.M_Metal_Gold","24","45","4","1","47.849125","0","206"
